"Product Code","Availability"
"4TH2SA0001",1
"5ABP13B",1
"5AMH01C",1
"5AMH03G",1
"5ASD46E",1
"5EJ3Q",1
"5S743M401LPIV",1
"8OPBH039",1
"LRCTRLXN",1
"MB500CK",1
"1B-5AEQ26F",1
"2BB15-BK",1
"2BB4ACA009",1
"2BB4ACA022",1
"2BB4ACA023",1
"2BB4ACE001",1
"2BB6001R-CK",1
"2BBMR504-GD",1
"2BGGS36-BK",1
"2BX5B0002",0
"2ED2C4",1
"2ED2C7-PC",1
"2EL1J71PC",1
"2FREHB6MS-WK",1
"2GB2JAA030",1
"2GBX5BA003",1
"2GBX5BA008",1
"2LN1MBC005",1
"2LN2-2B",1
"2LN3YBA001",1
"2MB0007L-GD",1
"2MB0007R-GD",1
"2MB0016L-BK",0
"2MG0008L-CK",1
"2MG0008R-GD",1
"2MG0051TL-CH",1
"2MG0051TR-CH",0
"2MG0071L-CH",1
"2MM0009-CH",1
"2MM0014L-CH",0
"2MM0014R-CH",0
"2MM0028L-NI",1
"2SCCT2012-BK",1
"2SCCT2018-BK",1
"2SLG6-SC",0
"2SUX5BA007",1
"2TRX1AB001","unknown"
"2TRX5AE003",1
"2TRX5AH001",1
"2TRX5BA009",1
"2YSBT0002-CK",1
"32S04270",1
"32S04271",1
"3CP331C50",1
"3CP683M50",0
"3EMB410-C",1
"3EQ1WEQB2B",1
"3PC27C0001",1
"3PS1J3WTC",1
"3PU1C3057",1
"3PU1C4171",1
"3PU1D4712",1
"3PU1HAC2CK",1
"3PU1MC0007",1
"3PU1PA0063",1
"3PU1W4251",1
"3PU27A0017",1
"3PU27C0025",1
"3PU27C0026",1
"3PU3PA0021",1
"3PU3PA0022",1
"3PUCCSM0-WH",1
"3PUCCSN0-WH",1
"3PUDXJK0-FBN",0
"3PUIRDN4-FBB",0
"3PUIRS2-BKN",1
"3PURSM0-FB",1
"3V104SAS01-KL",1
"3VPBP23A",1
"3VR1VM301",1
"4KB1U12C",1
"4KBHT001-BKW",1
"4N4264601RPBK",1
"4N47657R8-PBK",1
"4NT12C0001",1
"4NT1CBL543",1
"4NT1JG5048",1
"4NT27A0001",1
"4NT27A0003",1
"4NT3NA0002",1
"4PG00A0041",1
"4PGG006R-IV",1
"4PGGXSSHR-WBW",1
"4PGQ6SSR-WBW",1
"4PT1CX3B",1
"4PT1PA0011",1
"4SCPT004-BK",0
"4WRHXSET01",1
"5ABP13N",0
"5AEQ26F",1
"5AEQ49F",1
"5AHK01N",1
"5ANT27F",1
"5ANT93E",1
"5APG93EL",1
"5ART02N",0
"5ASD71N",0
"5ATP05N",1
"8JKC3001",1
"MB500LCK-R",1
"MB500PC-E",1
"NECK-SCREWSET",1
"3CAGSCVTR",1
"1B-5AJK17F",1
"1B-5AMH15G",1
"1B-5AMH26B",1
"1B-5AMH36D",1
"2ED2C3-PC",1
"2GBX5BA002",1
"2LE2-12S",1
"2LE2-2B",1
"2LN1MAE001",1
"2LN2YAA001",1
"2MG0028L-CK",1
"2MG0028R-CH",1
"2MG0076L-GD",0
"2MG0076R-GD",0
"2MH1DC1L6C-E",1
"2MH1WG2L6C-E",1
"2MH1YB222C",1
"2MH27A0009",1
"2NJ002-CH",1
"2QCB1H3G",1
"2TL1X43K",1
"3CA210P2R",1
"3CASP5VTL",1
"3CH2085HV",1
"3CH2110HH",1
"3CH4085HV",1
"3CH5090VV",1
"3EQ1MC0002",1
"3JK1J33",1
"3PU1C41AFR",1
"3PU1C4310",1
"3PU1C4411",1
"3PU1MA0010",1
"4JP1UG1C",1
"4KB080002-BK",1
"4KB1C11SN",1
"4KB1C1CW",1
"4KB1C2G",1
"4KB1CF1B",1
"4KB1CF1W",1
"4KB1CF2B",1
"4KB1JF1B",1
"4KB1PC0002",1
"4KB3XA0001",1
"4KB3XA0002",1
"4KBDSPN-CH",1
"4KBFLPW-CK",1
"4KBX5A0001",1
"4MR1C212C",1
"4MR1J212K",1
"4MR1W212K",1
"4PG12A0090",1
"4PT00A0002",1
"4PT1ARP1",1
"4PT1PC0011",1
"4PT1RG1BA",1
"4PT1S5B",1
"4PT3XA0005",1
"4SC3HA0004",1
"4SS1H2C",1
"5AEQ65F",1
"5AJK17F",1
"5AJK19E",1
"5AMH01G",1
"5AMH07N",1
"5AMH15B",1
"5AMH15C",1
"5AMH15G",1
"5AMH17J-L",1
"5AMH17J-R",1
"5AMH23E",1
"5AMH26B",1
"5AMH36D",1
"5AMH51AG-L",1
"5EH2T-F",1
"5EMSKOB",1
"1B-2BBMR5UBPB",1
"1B-5AEQ42F",1
"2BB4ACA026",1
"2BB4ADD002",1
"2BBMR504-BFK",1
"2BBMR5HS-BFK",1
"2BBMR5UBP-BKF",1
"2BGF106-CK",1
"2BGGS36-CK",1
"2BGGS37-BK",1
"2ED2C2K1",1
"3CA3T210R-BN",1
"3PU1C4064R",1
"3PUQMS2-FBN",1
"3VP31004",1
"4EP1JH2G",1
"4EP1MA0002",0
"4FW1J216",1
"4KB1C11C",1
"4KB1C11K",1
"4KB1C31C",1
"4KB1C3CW",1
"4KB1CF2W",1
"4KB27A0008",1
"4KB3XA0010",1
"4KBDSSW-GD",1
"4MR1C212K",1
"4NT1CG541L",1
"4NT27C0003",1
"4PT3XA0003",1
"4SC1C2V",1
"5AMH18J",1
"5ASD20F",1
"5S724H401L-B",1
"1B-5AJK27F",1
"1NK1PC0099",1
"1NK1PC0100",1
"1NK1PC0104",1
"2BB4ACD001",1
"2MB0003L-CK",1
"2MG0002TR-GD",1
"2MG0018L-CH",0
"2MG0018R-CH",0
"2MG0051R-CH",1
"2MM0033SL-CHB",1
"2MM0033SR-CHB",1
"2MM0044L-CH",1
"2MM0044R-CH",1
"2SCKT3012-BK",1
"2TL2-5S",1
"2TRX5AD027",1
"2TRX5AF003",1
"2TRX5AF006",1
"2TUX5BA003",1
"3BP2BCA",1
"3BP3BBMAL",1
"3BPSN01A1",1
"3CP1J223",1
"3PU1W1002",1
"3PUDXJ5J0-FBN",0
"3PUDXP5P0-FBN",1
"3PUIB2S2-FB",0
"3PUIRB2-WHN",1
"3VR1DW2B01",1
"4EP1MC0002",0
"4EP1MC0003",0
"4FW1J214",1
"4N4233601RPIV",1
"4N5469603RPBK",1
"4NT1CG538L",1
"4NT3NA0003",1
"4PG1PA0002",1
"4PGAZESSHRMBM",1
"4PGAZESSSRMBM",0
"4PGBTMB1-WP3",1
"4PGG011R-BK",1
"4PGGRSSHR-WBW",1
"4SCPLSTDB-BK",1
"4SCPLSTDB-WH",0
"5AMH18J-R",1
"5ANT07N",0
"5N4364601LPIV",0
"5S803M401R-B",1
"1B-2MH12A0002",1
"1B-2MH1CG2L6C",1
"1B-5AMH17J",1
"2BGGBP6W-CHB",1
"2BGGBP6W-GDK",1
"2LE2-3S",1
"2YNSB154M-BK",1
"2ZRT1RN7K2",1
"4FW1J213",1
"4TH2JA0005",1
"5AMH17J",1
"5N4364603RBBK",1
"5N5064701RBBK",1
"5ANT72E",1
"1B-2MG0002TLB",1
"1B-2MG0002TRB",1
"1B-5AMH58U",1
"1NK1PC0084",1
"2AC2B202K",1
"2BB4ADA019",1
"2ED1C31B",1
"2L48001R-CH",1
"2MC0014L-GDP",1
"2MC0014R-GDP",1
"2MG0013L-GD",1
"2MG0058L-CH",1
"2MG0058R-CH",1
"2MM0029L-NIV",1
"2MM0029R-NIV",1
"2SPPH3026-N",1
"2TL1H43K",1
"2YSBTSTD16-TG",0
"3BP3BPA",1
"3EMB410B-SBL",1
"3PUGBSN1-GDG",0
"4KB1C11G",1
"4KBDLPN-GD",0
"4KBDLSW-CK",1
"4KBDSSW-CK",1
"4N4353602RPIV",0
"5APU23F",1
"5EJB5X",1
"5N4262601LPIV",0
"5S743M201LPIV",0
"2BB4ADA011",1
"2BGGBP6W-GDB",0
"2MH12A0003-R",1
"2NJ002-CK",1
"2SCKT3525-BK",1
"2TRX5AE006",1
"2YNSB154S-BK",1
"3PU1MC0017",1
"4KB1C3K",1
"4KB27A0009",1
"4KBDBSW-BK",1
"4PGX010R-BTS",1
"4PT3XA0004",1
"4SC1J1B",1
"5ASD19F",1
"4N4363601RPBK",1
"1NK1PC0303WNF",1
"2LE1K731B",1
"2MG0002SR-GD",1
"2MG0075S1L-GD",1
"3BP3BBMA",1
"3EMVP1SP-SB",1
"3PUMTB4-CH",1
"3PUQMN4-FWN",0
"4NT3NA0001",1
"5APU43F",1
"MB500V",1
"2MH1CG433G-L",1
"2SC1P0001-N",1
"2TRX5AF007",1
"2TRX5AF009",1
"3VR1C500DS",1
"1B-5AMH06N",1
"2LE2-7-1S",1
"3PU1HB15B",1
"3PU1HB15F",1
"5AMH06N",1
"2BGGS38-CK",1
"5AMH16J-R",1
