"Kod";"Stav"
"AZFLF-S2BS";1
"AZFLF-S2S";1
"AZFLF-S3BS";1
"AZFLF-S3S";1
"AZFLF-Z3BS";0
"AZFLF-Z3S";1
"AZFLH-S2S-1";0
"AZFLH-Z1S";0
"AZFLH-Z2S";1
"AZKB23";1
"AZKB23B";1
"AZKC21";1
"AZKC21B";1
"AZS2E";1
"AZS2RBE";0
"AZS2RBI";1
"AZS2RE";1
"AZS2RI";1
"AZS3E";0
"AZS3RBE";0
"AZS3RBE-A";1
"AZS3RBE-C";1
"AZS3RBI";1
"AZS3RE";1
"AZS3RI";1
"AZZ1E";1
"AZZ1RBE";1
"AZZ1RE";1
"AZZ1RI";1
"AZZ2E";1
"AZZ2RBE";0
"AZZ2RBI";1
"AZZ2RE";1
"AZZ2RE-A";1
"AZZ2RI";1
"AZZ3E";0
"AZZ3RBE";1
"AZZ3RBE-C";1
"AZZ3RBI";1
"AZZ3RE";1
"AZZ3RI";1
"BA113+";1
"BA114";1
"BA114+";1
"BA115";1
"BA115+";1
"BA116";1
"BA116+";0
"BA124";1
"BA124+";1
"BA125";1
"BA125+";0
"BA126";1
"BA126+";0
"BA127";0
"BA127+";0
"BA128";0
"BA128+";1
"BA134";1
"BA134+";0
"BA135";0
"BA135+";0
"BA136";0
"BA136+";0
"BA137";0
"BA137+";0
"BA138";0
"BA138+";0
"BA13LA4+";0
"BA13LA5";0
"BA13LA5+";1
"BA13LA6";1
"BA13LA6+";1
"BA13LA7";1
"BA13LA7+";1
"BA13LA8";1
"BA13LA8+";1
"BA13RG7+";1
"BA13RG8+";0
"BA13RG9+";1
"BA13V4";1
"BA13V4+";1
"BA13V5";1
"BA13V5+";0
"BA13V6";1
"BA13V6+";0
"BA13V7";0
"BA13V7+";0
"BA13V8";1
"BA13V8+";1
"BA13V9+";0
"BA144";1
"BA144+";1
"BA145";1
"BA145+";1
"BA146";0
"BA146+";0
"BA147";0
"BA147+";0
"BA148";0
"BA148+";1
"BA184";1
"BA184+";1
"BA185";1
"BA185+";1
"BA186";1
"BA186+";0
"BA187";1
"BA187+";1
"BA188";1
"BA188+";1
"BA1M6M";1
"BA1M8M";1
"BA245+";1
"BA246+";0
"BA247+";1
"BA248+";1
"BA254+";1
"BA255";1
"BA255+";1
"BA256";0
"BA256+";0
"BA257";0
"BA257+";1
"BA258";1
"BA258+";1
"BA259";0
"BA259+";1
"BA264+";1
"BA269+";1
"BA26FL5+";1
"BA26FL6";1
"BA26FL6+";1
"BA26FL7";1
"BA26FL8";1
"BA26FL8+";0
"BA26FLGV5+";1
"BA26FLGV6";0
"BA26FLGV6+";0
"BA26FLGV7";0
"BA26FLGV7+";0
"BA26FLGV8";1
"BA26FLGV8+";1
"BA26FLGV9";0
"BA26FLGV9+";1
"BA26GV4+";0
"BA26GV5";0
"BA26GV5+";1
"BA26GV6";0
"BA26GV6+";0
"BA26GV7";1
"BA26GV7+";0
"BA26GV8";0
"BA26GV8+";0
"BA26GV9";1
"BA26GV9+";1
"BA26NY4+";1
"BA26NY5";1
"BA26NY5+";1
"BA26NY6";0
"BA26NY6+";1
"BA26NY7";1
"BA26NY7+";1
"BA26NY8";1
"BA26NY8+";1
"BA26NY9";1
"BA26NY9+";1
"BA26RG7+";1
"BA26RG9+";1
"BA26V4+";1
"BA26V5";1
"BA26V5+";1
"BA26V6";1
"BA26V6+";1
"BA26V7";1
"BA26V7+";0
"BA26V8";1
"BA26V8+";1
"BA26V9";0
"BA26V9+";1
"BA274+";1
"BA275";1
"BA275+";1
"BA276";0
"BA276+";0
"BA277";0
"BA277+";0
"BA278";1
"BA278+";1
"BA279";1
"BA279+";1
"BA2GM5M";0
"BA2GM6M";0
"BA2GM7M";1
"BA2L10L";0
"BA2L10M";0
"BA2L10S";0
"BA2L4L";0
"BA2L4M";0
"BA2L4S";0
"BA2L5L";0
"BA2L5M";0
"BA2L5S";0
"BA2L6L";0
"BA2L6M";0
"BA2L6S";0
"BA2L7L";0
"BA2L7M";0
"BA2L7S";0
"BA2L8L";0
"BA2L8M";0
"BA2L8S";0
"BA2M5L";0
"BA2M5M";0
"BA2M5M-2";0
"BA2M5S";0
"BA2M6L";0
"BA2M6M";0
"BA2M6M-2";0
"BA2M6S";0
"BA2M7L";0
"BA2M7M";0
"BA2M7M-2";0
"BA2M7S";0
"BA2M8L";0
"BA2M8M";0
"BA2M8S";0
"BA2M9M";0
"BA2NY5M";0
"BA2NY6M";0
"BA2NY7M";0
"BA2NY8M";0
"BA2S10L";0
"BA2S10M";0
"BA2S10S";0
"BA2S4L";0
"BA2S4M";0
"BA2S4S";0
"BA2S5L";0
"BA2S5M";0
"BA2S5S";0
"BA2S6L";0
"BA2S6M";0
"BA2S6S";0
"BA2S7L";0
"BA2S7M";0
"BA2S7S";0
"BA2S8L";0
"BA2S8M";0
"BA2S8S";1
"BA356J";0
"BA357J";1
"BA366J";1
"BA367J";1
"BA368J";0
"BA3GM5M";1
"BA3GM6M";0
"BA3GM7M";0
"BA3M10M";0
"BA3M4L";0
"BA3M4M";1
"BA3M4S";1
"BA3M5M";0
"BA3M6M";0
"BA3M7M";0
"BA3M8M";0
"BA3M9M";1
"BA4M10M";0
"BA4M5M";1
"BA4M6M";1
"BA4M7M";1
"BA4M8M";1
"BA4M9M";0
"BA8M10M";0
"BA8M5M";0
"BA8M6M";0
"BA8M6S";1
"BA8M7M";0
"BA8M8M";1
"BA8M9M";0
"CDBLASTCL16";0
"CDBLASTCL18";0
"CDBLASTCL20";0
"CDBLASTCL22";0
"CDBLASTCL24";0
"CDBLASTCT18";0
"CDBLASTCT20";0
"CDBLASTCT22";0
"CDBLASTCT24";0
"CDBOOMERSNR13";0
"CDBOOMERSNR14";0
"CDBOOMERTOM10";0
"CDBOOMERTOM12";0
"CDBOOMERTOM13";0
"CDBOOMERTOM14";0
"CDBOOMERTOM15";0
"CDBOOMERTOM16";0
"CDBOOMERTOM18";0
"CDBOOMERTOM6";0
"CDBOOMERTOM8";0
"CDBPATCH1";0
"CDBPATCHDBL";0
"CDBPATCHTHIN";0
"CDBRASSSW13";0
"CDBRASSSW14";0
"CDCYMFEL";0
"CDDNACL06";0
"CDDNACL08";0
"CDDNACL10";0
"CDDNACL101214";0
"CDDNACL10121420";0
"CDDNACL101216";0
"CDDNACL12";0
"CDDNACL121316";0
"CDDNACL12131622";0
"CDDNACL13";0
"CDDNACL14";0
"CDDNACL15";0
"CDDNACL16";0
"CDDNACL18";0
"CDDNACT06";0
"CDDNACT08";0
"CDDNACT10";0
"CDDNACT101214";0
"CDDNACT10121420";0
"CDDNACT101216";0
"CDDNACT10121622";0
"CDDNACT12";0
"CDDNACT121316";0
"CDDNACT12131622";0
"CDDNACT13";0
"CDDNACT14";0
"CDDNACT14PK20";0
"CDDNACT15";0
"CDDNACT16";0
"CDDNACT18";0
"CDEBLR16";0
"CDEBLR18";0
"CDEBLR20";0
"CDEBLR22";0
"CDEWHR16";0
"CDEWHR18";0
"CDEWHR20";0
"CDEWHR22";0
"CDEWHR24";0
"CDGCL123";0
"CDGCL125";0
"CDGCL133";0
"CDGCL135";0
"CDGCL143";0
"CDGCL145";0
"CDGENCL08";0
"CDGENCL10";0
"CDGENCL101214";0
"CDGENCL10121420";0
"CDGENCL101216";0
"CDGENCL10121622";0
"CDGENCL12";0
"CDGENCL121316";0
"CDGENCL12131622";0
"CDGENCL13";0
"CDGENCL14";0
"CDGENCL15";0
"CDGENCL16";0
"CDGENCL18";0
"CDGENCT08";0
"CDGENCT10";0
"CDGENCT101214";0
"CDGENCT10121420";0
"CDGENCT101216";0
"CDGENCT10121622";0
"CDGENCT12";0
"CDGENCT121316";0
"CDGENCT12131622";0
"CDGENCT13";0
"CDGENCT14";0
"CDGENCT14PK20";0
"CDGENCT15";0
"CDGENCT16";0
"CDGENCT18";0
"CDLAWCL06";0
"CDLAWCL08";0
"CDLAWCL10";0
"CDLAWCL101214";0
"CDLAWCL10121420";0
"CDLAWCL101216";0
"CDLAWCL10121622";0
"CDLAWCL12";0
"CDLAWCL121316";0
"CDLAWCL12131622";0
"CDLAWCL13";0
"CDLAWCL14";0
"CDLAWCL15";0
"CDLAWCL16";0
"CDLAWCL18";0
"CDMACH1014";0
"CDORIGCL06";0
"CDORIGCL08";0
"CDORIGCL10";0
"CDORIGCL12";0
"CDORIGCL13";0
"CDORIGCL14";0
"CDORIGCL15";0
"CDORIGCL16";0
"CDORIGCL18";0
"CDORIGCT06";0
"CDORIGCT08";0
"CDORIGCT10";0
