id,release,ccgart,ccgartdot,marke,ccgbel1,availableQuantity
38487080,,120510,120.510,GEWA,Digitální piano DP510,200
38487081,,120512,120.512,GEWA,Digitální piano DP510,38
38487082,,120515,120.515,GEWA,Digitální piano CP510,54
38487083,,120520,120.520,GEWA,Digitální piano DP520,20
38487084,,120540,120.540,GEWA,Digitální piano UP540,7
38487085,,120720,120.720,GEWA,Portable Piano PP-2,200
38487086,,120730,120.730,GEWA,Portable Piano PP-3,200
38487087,,120730001,120.730.001,GEWA,Portable Piano Stojan,200
38487088,,130000,130.000,GEWA,Piano stolička Deluxe,200
38487089,,130001,130.001,GEWA,Piano stolička Deluxe Vinyl,183
38487090,,130010,130.010,GEWA,Piano stolička Deluxe,200
38487091,,130011,130.011,GEWA,Piano stolička Deluxe Vinyl,37
38487092,,130020,130.020,GEWA,Piano stolička Deluxe,200
38487093,,130021,130.021,GEWA,Piano stolička Deluxe Vinyl,0
38487094,,130030,130.030,GEWA,Piano stolička Deluxe,200
38487095,,130031,130.031,GEWA,Piano stolička Deluxe Vinyl,0
38487096,,130040,130.040,GEWA,Piano stolička Deluxe,200
38487097,,130050,130.050,GEWA,Piano stolička Deluxe,113
38487098,,130060,130.060,GEWA,Piano stolička Deluxe,8
38487099,,130070,130.070,GEWA,Piano stolička Deluxe,188
38487100,,130080,130.080,GEWA,Piano stolička Deluxe,1
38487101,,130090,130.090,GEWA,Piano stolička Deluxe,36
38487102,,130110,130.110,GEWA,Piano stolička Deluxe,1
38487103,,130120,130.120,GEWA,Piano stolička Deluxe,37
38487104,,130130,130.130,GEWA,Piano stolička Deluxe,11
38487105,,130140,130.140,GEWA,Piano stolička Deluxe,67
38487106,,130150,130.150,GEWA,Piano stolička Deluxe,0
38487107,,130180,130.180,GEWA,Piano stolička Deluxe,8
38487108,,130187,130.187,GEWA,Piano stolička Sedáky Deluxe,42
38487109,,130188,130.188,GEWA,Piano stolička Sedáky Deluxe,35
38487110,,130189,130.189,GEWA,Piano stolička Sedáky Deluxe,40
38487111,,130190,130.190,GEWA,Piano stolička Sedáky Deluxe,99
38487112,,130191,130.191,GEWA,Piano stolička Sedáky Deluxe,76
38487113,,130192,130.192,GEWA,Piano stolička Sedáky Deluxe,44
38487114,,130193,130.193,GEWA,Piano stolička Sedáky Deluxe,26
38487115,,130194,130.194,GEWA,Piano stolička Sedáky Deluxe,29
38487116,,130195,130.195,GEWA,Piano stolička Sedáky Deluxe,14
38487117,,130196,130.196,GEWA,Piano stolička Sedáky Deluxe,29
38487118,,130197,130.197,GEWA,Piano stolička Sedáky Deluxe,92
38487119,,130198,130.198,GEWA,Piano stolička Sedáky Deluxe,17
38487120,,130200,130.200,GEWA,Piano stolička Deluxe Double,42
38487121,,130210,130.210,GEWA,Piano stolička Deluxe Double,36
38487122,,130220,130.220,GEWA,Piano stolička Deluxe Double,50
38487123,,130270,130.270,GEWA,Piano stolička Deluxe Double,26
38487124,,130300,130.300,GEWA,"Piano stolička Deluxe Leather - černá, vysoký lesk",75
38487125,,130310,130.310,GEWA,Piano stolička Deluxe XL Černý vysoký lesk,135
38487126,,130320,130.320,GEWA,Piano stolička Deluxe Classic,18
38487127,,130330,130.330,GEWA,Piano stolička Deluxe Classic,36
38487128,,130340,130.340,GEWA,Piano stolička Deluxe Classic,68
38487129,,130350,130.350,GEWA,Piano stolička Deluxe Classic,19
38487130,,130360,130.360,GEWA,Piano stolička Deluxe Classic,37
38487131,,130370,130.370,GEWA,Piano stolička Deluxe Classic,23
38487132,,130380,130.380,GEWA,Piano stolička Deluxe Classic,42
38487133,,130400,130.400,GEWA,Piano stolička Autolift,59
38487134,,130420,130.420,GEWA,Piano stolička Autolift XL,161
38487135,,130500,130.500,GEWA,Piano stolička Deluxe Compartment,47
38487136,,130510,130.510,GEWA,Piano stolička Deluxe Compartment,35
38487137,,130520,130.520,GEWA,Piano stolička Deluxe Compartment,25
38487138,,130540,130.540,GEWA,Piano stolička Deluxe Compartment,8
38487139,,130570,130.570,GEWA,Piano stolička Deluxe Compartment,35
38487140,,130700,130.700,GEWA,Stolička pro piano Deluxe,67
38487141,,130710,130.710,GEWA,Stolička pro piano Deluxe,62
