"Product Code","Availability"
"PT32-BBK",1
"IGC100",1
"WHS4",1
"1NK2YA0068",1
"BIGMINI",1
"BTMINI",1
"CAT-IB25",1
"ES3",1
"GDC900",1
"GS64-BK",1
"GS64-BL",1
"GS64-GY",1
"GS64-RD",1
"IFT20",1
"PHMINI",1
"PTPRE",1
"TS9",1
"ST101",1
"ST201",1
"1NK1PA0729",0
"1NK1PA0738",0
"1NK1PC0496",0
"1NKATK42",1
"8SDC7002",1
"8SPB5006",1
"8SPBN007",1
"8SPBN008",1
"8SPBN014",1
"8SPBN016",1
"8SPBN017",1
"8SPBN018",1
"B200",1
"B300-BK",1
"FLMINI",1
"GSF50-BK",1
"GSF50-BL",1
"GSF50-BR",1
"GSF50-RD",1
"IBAL001L",1
"IBAL001M",1
"IBAL001S",1
"IBAL001XL",1
"IBAL001XXL",1
"IBAP001S",1
"IDC1",0
"IGB-JSEB",1
"IML21",1
"IPP10",1
"ITT12-L",1
"IUC10",1
"MB300C",1
"PGS12",1
"PTGATE",1
"TRMINI",1
"TS9DX",1
"1NK27A0016",1
"1NKPGSR5",1
"2SUX5BA002",0
"8KBC7002",1
"8OPC7012",1
"8OPC7013",1
"8OPC7014",1
"8OPC7015",1
"8OPC7030",1
"8OPC7031",1
"8OPC7032",1
"8OPC7038",1
"8PCC7005",1
"EJK1000",1
"IAB101",1
"IABB101",1
"ICB101",1
"ISW10",1
"ITT12-M",1
"LD303",1
"1B-1NK1PA0387",1
"1B-1NK1PA0619",1
"1B-UICT10-CA",1
"1NK00A0400FCN",0
"1NK00C0031",0
"1NK1PA0632",1
"1NK1PA0705",1
"1NK1PA0719",0
"1NK1PC0055",1
"1NK1PC0233",1
"1NK1PC0452SKF",1
"1NK1PC0459BTT",1
"1NK1PC0465TVB",1
"1NK1PC0491",0
"1NK1PC0516",0
"1NK1PC0520BTL",0
"1NK1PC0525CGL",0
"1NK1PC0536CTL",0
"2ED1L31K",1
"4JP00A0001",1
"8JKC7004",1
"8JKC7005",1
"8KBC3006",1
"8KBC3007",1
"8OPC7001",1
"8OPC7003",1
"8OPC7004",1
"8OPC7005",1
"8OPC7006",1
"8OPC7008",1
"8OPC7009",1
"8OPC7010",1
"8OPC7029",1
"8OPC7033",1
"8OPC7034",1
"8OPC7036",1
"8PCBN011",1
"8PCBN014",1
"8PCBN016",1
"8PCBN017",1
"8PCBN039",1
"8PCBN040",1
"8PCBN046",1
"8PTBN003J",1
"8PTBN003N",1
"8PTBN003S",1
"8PTBN003U",1
"8SWC7001",1
"8SWC7003",1
"8VRC7001",1
"8VRC7002",1
"8VRC7003",1
"8VRC7004",1
"8VRC7005",1
"ADMINI",1
"BEL14HD10",1
"BEL14HD12",1
"BEL14ST10",1
"BEL14ST12",1
"BEL16HD10SHBK",1
"BEL16ST10SHBK",1
"BEL18HD12",1
"BEL18ST12",1
"BEL4HD22",1
"BEL4ST22",1
"BEL8HD10",1
"BEL8ST10",1
"BELJ1HD25",1
"BELJ1ST25",1
"CSMINI",1
"ESPR1003",1
"ESPR2003",1
"GSB50-C4",1
"GSF50-MGN",1
"GSQ501-BR",1
"GSV50-P2",1
"IBS50E1",0
"IBZ-GIG-UKC10",1
"IBZ-SPECIAL",1
"ICT10RG",1
"IEP10",1
"IFR50M",1
"INKS001",1
"MR350C",1
"MR500C",1
"MRB350C",1
"MRB500C",1
"PPA1M-BK",1
"PPA1M-WH",1
"SMMINI",1
"TS808",1
"TS808HWV2",1
"TS9B",1
"TSMINI",1
"TUNANO",1
"TWP10",1
"4450JX",1
"4450LX",1
"4450SX",1
"8PTBN009S",1
"FS40UC",1
"IBB101",1
"ICC10",1
"IGB101",1
"ISC1",1
"T15II",1
"T30II",1
"T80II",1
"1B-PGPSC",1
"1B-UICT10-MGS",1
"1B-UICT100MGS",1
"1B-URGT100-BK",1
"2EL1J11LG",1
"3PUS58B1-GDG",1
"4CPCEHB-BKF",1
"4PGBTMB2-FB",1
"4PGBTMB25-FB",1
"4PT1YAX2B",1
"8KBC7003",1
"8OPC7023",1
"8OPC7024",1
"8OPC7027",1
"8OPC7028",1
"8PCBN010",1
"8PCBN015",1
"8PCBN038",1
"8PCBN042",1
"8SDC7001",1
"8VRBH008",1
"B1000SVGPY",1
"BWS90",1
"BWS900",1
"DC301L",1
"DC501L",1
"DCS50-BK",1
"DCS50-OC",1
"FRS900JA",1
"GS100ICHI",1
"GSD50-BL",1
"GSD50-P6",1
"GSD50-RD",1
"GSD50-YE",1
"GSV50-P1",1
"IBAT007L",1
"IBAT007M",1
"IBAT007S",1
"IBAT007XL",1
"IBAT007XXL",1
"IBAT008S",1
"IBPIN001",1
"IBZ10BV2",1
"IBZ10GV2",1
"IGR10-BK",0
"ISB4-BK",1
"MTZ11",1
"PTEQ",1
"PU3-BK",1
"PU3-BL",1
"PU3-RD",1
"PUL22M",1
"PULT1",1
"V50-BAG",1
"VC50-BAG",1
"WS1",1
"1NK00A0430-WK",1
"2CL2-7",1
"4449EG4EXX",1
"4449UC4X",1
"4KBB20WB-BK",1
"4PT4LA0009",0
"4TRC0009-FB",1
"5AWR01E",1
"8PCC7006",1
"AEB8E-BK",1
"AEG50-BK",1
"AEG50N-NT",1
"GSTL60-BK",1
"IFC1000",1
"IFS2L",1
"IMC50FS",1
"TCY10E-BK",1
"VC50-ZUBBAG",1
"+SCREWTRUS-BK",1
"1B-RGDMS8-CSM",1
"1NKPGSR4L-BK",1
"2GB1JG101K",1
"4CPTAZSA-WH",1
"4PG4LA0010",1
"4PGAZSSS-MBM",1
"4PGG1M001",1
"4PGG4Z002-FWB",1
"4PGGRHHR-BWB",1
"5ECSDP1",1
"5EHJB5X",0
839,1
"8OPC7035",1
"8PCBN044",1
"8PTBN011J",1
"8PTBN011N",1
"8PTBN011S",1
"8PTBN011U",1
"8VL1335Z1",1
"8VL1342N1",1
"8VRC3025",1
"8VRC3026",1
"8VRC3027",1
"AR520HME-NT",1
"AS73FM-TIF",1
"AZ22S2-BK",1
"AZ24S2-BK",1
"AZES31-IV",1
"AZES31-VM",1
"AZES40-BK",1
"AZES40-TUN",1
"B1000KL-BK",1
"B1000KL-RD",1
"B1000PG-BK",1
"B1000PG-CA",1
"B1000PG-JB",1
"B1000PG-PW",1
"B1000PG-WH",1
"B1000PG-YE",1
"B1000SV-BR",1
"B1000SV-GR",1
"B1000SV-MP",1
"B1000SVR-WH",1
"DCS50-DB",1
"DCS50-MGN",1
"DCS50-NB",1
"DCS50-WR",1
"DCS50D-BKD",1
"DCS50D-RD",1
"GSB50-C5",1
"IAPC1",1
"IBAT011L",1
"IBAT011S",1
"IBJS5",1
"IGB651-KH",1
"IMDS4",1
"ISB4-YE",1
"JEMJRSP-PK",1
"MGB100C",1
"MM100C",1
"P1000ICHI-BK",1
"RG450DXB-WH",1
"RGR52ET-BK",1
"TMB100-BK",1
"WH10V3",1
"1B-AEG721-BOT",1
"4KBB20B-BK",1
"4PT4LA0013",0
"4WR001-CH",1
"8PCC7002",1
"AE100-BUF",1
"AEG1221-BOT",1
"AEG621-BOT",0
"AEG721-BOT",1
"AEWC621-BOT",1
"GA621-BOT",0
"GWS100",1
"IABS4C",1
"IABS4C32",1
"IABS4XC",1
"IABS4XC32",1
"ICGC10",1
"ICGC10W",1
"IGCX10",1
"IUBC301-BE",1
"IUBC301-BK",1
"IUBS301-BK",1
"IUBT301-BK",1
"PF15-BK",1
"PF15ECE-BK",1
"PF15ECE-NT",1
"PIACS6C",1
"PIACSP6C",1
"PICLS6HT",1
"PICLS6NT",1
"SI5",1
"SI5L",1
"TCY621-BOT",1
"1B-JBM27",1
"1B-RG450QMBSP",1
"1B-RG8EX-BKF",1
"2BB506-BFK",1
"2FREHB5-WK",1
"2MG0051L-GD",1
"2MG0080L-CH",0
"2MG0080R-CH",0
"2TRAT102L-BK",1
"3EMP3BA",0
"3EMPMIPZA",1
"3V504SAS01-SL",1
"3VPV25AL",1
"4N4163401RPBK",1
"4NUB5R-PBK",1
"4PGAAAML-RT",1
"540PIII-BK",1
"5ANT28B",0
"8PCC7004",1
"AR420-VLS",0
"AZ24S1F-VLS",1
"AZES40-MGR",1
"AZES40-PRB",1
"B1100GB",1
"DCS50D-CGY",1
"DCS50D-LBL",1
"DCS50D-MGN",1
"DCS50D-PBD",1
"GRG140-SB",0
"GRG140-WH",0
"GRG170DX-SV",1
"GRX70QA-SB",0
"GSLZ60LG-BK",1
"GSR105EX-BK",1
"GSR180-BK",1
"GSR200-BK",1
"GSR205-BK",1
"GSRM20-BK",1
"GSRM25-BK",0
"GWS32",1
"IFS2U",1
"IGB651-GY",0
"IGB681-BL",1
"IGB681-GY",1
"IGB681-KH",1
"IV1RG",1
"IV1SR",0
"IV2MDM",0
"IV2RG",0
"JBM27",1
"K7YANG",0
"K7YIN",0
"M510E-BS",1
"MS100C",0
"NDM5-SB",1
"PCE9H-SH",1
"PCP14H-C1",1
"PCP16H-C2",1
"PWM20",1
"RG420EX-BKF",1
"RG421-MOL",1
"RG421DX-TWS",0
"RG421EX-BKF",1
"RG450B-WK",1
"RG450QMB-SPB",0
"RG460DX-BLH",1
"RG470DX-TMN",1
"RG470DXFM-CS",1
"RG470DXW-CA",1
"RG550-BK",1
"RG7420EX-BKF",1
"RG7421EX-BKF",0
"RG8EX-BKF",1
"RGA42AH-BKS",1
"RGR6BSP-IPT",1
"RGRT420-WK",1
"RGRT421-WK",1
"S521-BBS",1
"S521-MOL",1
"S670QM-SPB",1
"SA260FM-VLS",1
"SA360NQM-SPB",0
"SR300E-IPT",1
"SR300E-PW",1
"SR300EB-CA",1
"SR300EB-WK",1
"SR300EB-WNF",1
"SR305E-PW",0
"SR305EB-WK",1
"SR305EB-WNF",1
"SR306EB-WK",1
"TMB100-MGR",1
"TMB100L-BK",0
"TMB30-BK",1
"TMB30-IV",1
"TMB420B-BKF",1
"TMB425B-BKF",1
"URGT100-BK",1
"1B-5AJB05F",1
"1B-AEGB30ENTG",1
"1B-GA3-OAM",1
"1B-GA5TCE-AM",1
"4CPC00A001BKF",1
"4CPT0006R-WBW",0
"4PT4LA0002",1
"4TRC0002-RBK",1
"AE160-VMS",1
"AE245-NT",1
"AEG5012-BKH",1
"AEG50N-BKH",1
"AEG70-TCH",1
"AEG7MH-OPN",1
"AEGB24E-BKH",1
"AEGB30E-NTG",1
"AEWC400-TKS",1
"AJ54E-OPN",1
"AJ70M1E-BK",1
"ALT50FA-TVT",0
"AMH90-BK",1
"AUT10-OPN",1
"AW8412CE-WK",1
"AW84CE-WK",1
"BER10",0
"GA3-OAM",1
"GA35TCE-NT",1
"GA3ECE-OAM",0
"GA5MHTCE-OPN",1
"GA5TCE-AM",1
"GA6CE-AM",1
"IAB541TW",1
"IACS6C",1
"IBBMIKRO",1
"ICB620-BKF",0
"ICLS6HT",1
"ICLS6NT",1
"IGB651-NB",1
"IGBMIKRO",1
"IGBQ724-BK",1
"M8M",1
"MRC10-NT",0
"MTZ11-BBK",1
"PC14MHCE-WK",1
"PCBE12MH-OPN",1
"PCBE14MH-WK",1
"RG550-RF",1
"RGMS7-BK",1
"TCM50-VBS",1
"TCY12E-OPN",1
"V40-OPN",1
"V40CE-OPN",1
"V40WSCE-OPB",0
"VC40WSCE-OPB",0
"VC44-OPN",1
"VC44CE-OPN",0
"1B-SRMS720BCM",1
"1B-URGT100SUR",1
"2MC0001L-GDB",0
"2MG0008R-BK",1
"3PUV8B4-FBB",1
"3VR1C500C",1
"4PRBN005-BK",1
"540PIII-PN",1
"5ECAHA1-GD",1
"8KBB5006",1
"8PCC7003",1
"AF55-TF",1
"AF75-BS",1
"AF75G-BKF",1
"AGB200-BKF",1
"AJ7012M1E-BK",0
"AM73G-BK",0
"AR320-MBM",0
"AR420-BMG",1
"AT100CL-SB",0
"AZ2203N-BK",1
"AZ22S1F-TKS",1
"AZ22S1F-TXB",1
"AZ2407F-SDE",0
"AZ24S1F-TKS",1
"AZ24S1F-TXB",1
"AZES31-AOC",1
"AZES40L-PRB",0
"AZS2209B-BK",1
"BTB25TH5-SLM",1
"BTB605-TGF",1
"BTB606-TGF",1
"BTB747-NTL",0
"EWP14WB-OPN",1
"FRH10N-NTF",1
"GRG120QASPBGD",1
"GRG120QASPBKG",0
"GRG121DX-BKF",0
"GRG121DX-WNF",1
"GRG131DX-BKF",1
"GRG170DX-BKN",1
"GRGA120-BKN",1
"GRGR131EX-BKF",1
"GRGR221PA-AQB",1
