SKU;Nazov;Pocet_ks;URL
L2360104;Fishman PRF MH7 CQ1 FLUENCE MODERN HB 7 STRING CERAMIC BRUSHED BLACK NICKEL;1;https://b2b.laudacentral.eu/product-details/Fishman-PRF-MH7-CQ1-FLUENCE-MODERN-HB-7-STRING-CERAMIC-BRUSHED-BLACK-NICKEL/54dfc62a-5f5b-47c4-8c63-df4d432e26bf
L2360103;Fishman PRF MH7 AQ1 FLUENCE MODERN HB 7 STRING ALNICO BRUSHED BLACK NICKEL;1;https://b2b.laudacentral.eu/product-details/Fishman-PRF-MH7-AQ1-FLUENCE-MODERN-HB-7-STRING-ALNICO-BRUSHED-BLACK-NICKEL/1c0b36f3-4be2-4632-9cc1-0acca5764838
L2360102;Fishman PRF MH7 SQ2 FLUENCE MODERN HB 7 STRING SET OF 2 BRUSHED BLACK NICKEL;0;https://b2b.laudacentral.eu/product-details/Fishman-PRF-MH7-SQ2-FLUENCE-MODERN-HB-7-STRING-SET-OF-2-BRUSHED-BLACK-NICKEL/2e604724-4b9f-4c75-815d-2f63aa153065
L2360101;Fishman PRF MHB CQ1 FLUENCE MODERN HB 6 STRING CERAMIC BRUSHED BLACK NICKEL;1;https://b2b.laudacentral.eu/product-details/Fishman-PRF-MHB-CQ1-FLUENCE-MODERN-HB-6-STRING-CERAMIC-BRUSHED-BLACK-NICKEL/c9981ee0-5d33-4cb9-9e77-84e92ed3a7b2
L2360100;Fishman PRF MHB AQ1 FLUENCE MODERN HB 6 STRING ALNICO BRUSHED BLACK NICKEL;1;https://b2b.laudacentral.eu/product-details/Fishman-PRF-MHB-AQ1-FLUENCE-MODERN-HB-6-STRING-ALNICO-BRUSHED-BLACK-NICKEL/15c434e6-59c1-48f3-811f-8997f2595383
L2360099;Fishman PRF MHB SQ2 FLUENCE MODERN HB 6 STRING SET OF 2 BRUSHED BLACK NICKEL;0;https://b2b.laudacentral.eu/product-details/Fishman-PRF-MHB-SQ2--FLUENCE-MODERN-HB-6-STRING-SET-OF-2-BRUSHED-BLACK-NICKEL/d72af696-9167-498f-8dad-1bdceda221f0
L2360098;Fishman PRF P9S NC1 FLUENCE GK SIG SERIES 6ST P90 NECK CREAM;1;https://b2b.laudacentral.eu/product-details/Fishman-PRF-P9S-NC1-FLUENCE-GK-SIG-SERIES-6ST-P90-NECK-CREAM/26deea75-1173-4478-a6bf-4d6d3504e910
L2360097;Fishman PRF P9S NB1 FLUENCE GK SIG SERIES 6ST P90 NECK BLACK;1;https://b2b.laudacentral.eu/product-details/Fishman-PRF-P9S-NB1-FLUENCE-GK-SIG-SERIES-6ST-P90-NECK-BLACK/97f256c1-a9c5-4b8b-861c-8444627e9c08
L2360096;Fishman PRF CS6 TH2 FLUENCE TIM HENSON SIGNATURE OC 6ST BLACK SET;0;https://b2b.laudacentral.eu/product-details/Fishman-PRF-CS6-TH2-FLUENCE-TIM-HENSON-SIGNATURE-OC-6ST-BLACK-SET/f22a8656-f027-40ec-bfb7-1110ca362a9d
L2360095;Fishman PRF CS6 TW2 FLUENCE TIM HENSON SIGNATURE OC 6ST WHITE SET;1;https://b2b.laudacentral.eu/product-details/Fishman-PRF-CS6-TW2-FLUENCE-TIM-HENSON-SIGNATURE-OC-6ST-WHITE-SET/3d82b3ff-9f6b-4d95-b001-4e061e943c88
