ITEM_ID;PRODUCTNAME;EAN;Availability
HX0000000000671;DA_.DA J3001;019954232078;1
HX0000000002734;PEP.P 75H;4515295928312;0
HX0000000002735;PEP.P 75X;4515295110878;0
HX0000000002741;PHW.P AD-6A;4515295562844;1
HX0000000002744;PHW.P AX-25;4515295015005;0
HX0000000002745;PHW.P AX-25L;4515295015012;0
HX0000000002747;PHW.P DB-100;4515295562189;1
HX0000000002755;PHW.P BD-10;4515295016125;0
HX0000000002760;PHW.P BT-3;4515295018273;0
HX0000000002764;PHW.P CA-88S;;1
HX0000000002766;PHW.P CCA-1;4515295901056;0
HX0000000002768;PHW.P CH-70;4515295026889;1
HX0000000002772;PHW.P CL-100;4515295027015;0
HX0000000002784;PHW.P DC-1006;4515295959712;0
HX0000000002785;PHW.P DC-1206;4515295959729;0
HX0000000002786;PHW.P DC-1306;4515295959736;0
HX0000000002787;PHW.P DC-1408;4515295959743;0
HX0000000002789;PHW.P DC-288B;;1
HX0000000002794;PHW.P BC-830;4515295599994;1
HX0000000002795;PHW.P EB-22BDPL;4515295254916;0
HX0000000002801;PEP.P ECB-6;4515295254718;0
HX0000000002819;PHW.HL-BD-1;HL-BD-1;0
HX0000000002821;PHW.P IS-0810SL/C;4515295311749;0
HX0000000002823;PHW.P K-030;4515295940031;1
HX0000000002838;PHW.P M-8W/2;4515295820586;0
HX0000000002844;PHW.P ME-767A;;0
HX0000000002861;PHW.P MTW-12/12;4515295820593;0
HX0000000002863;PHW.P NP-208;4515295820029;0
HX0000000002866;PHW.P NP-69/2;4515295820067;0
HX0000000002868;PHW.P OM-1;4515295071049;1
HX0000000002869;PHW.P OPT-0910;4515295955882;0
HX0000000002871;PHW.P OPT-1314;4515295955905;0
HX0000000002890;PHW.P DL-K2S;851166006012;0
HX0000000002908;PHW.P PC-8;4515295921924;0
HX0000000002916;PHW.P PR-135;4515295820630;0
HX0000000002918;PHW.P PS-85;4515295080706;1
HX0000000002923;PHW.P R-20N/3;4515295607934;0
HX0000000002924;PHW.P R-22/3;4515295923393;0
HX0000000002925;PHW.P R-5/3;4515295923430;0
HX0000000002928;PHW.P RHS-1R/2;4515295820654;0
