;;;;;;;;
;SONOR Pricelist 2026;;;RRP €;Dealer Base €;EAN;UPC;Free-Stock [pcs.]
;;;;;;;;
1;Drums;;;;;;;
1.1;MOMENTUM Drum Series;;;;;;;
1.1.1;MOMENTUM Shell Sets;;;;;;;
;Item number;Description;Specifications;incl. 19% VAT;excl. VAT;;;
;;;;;;;;
1.1.1;16280124;MT Beech 318 Shell Set NM #REP;"BD 18"" x 14.25"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Beech, Red Pearl";2 975,00 €;1 900,00 €;4044661759231;829193759836;0
1.1.1;16280324;MT Birch 318 Shell Set NM #REP;"BD 18"" x 14.25"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Birch, Red Pearl";3 035,00 €;1 938,32 €;4044661759491;829193760092;0
1.1.1;16280524;MT Maple 318 Shell Set NM #REP;"BD 18"" x 14.25"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Maple, Red Pearl";3 275,00 €;2 091,60 €;4044661759651;829193760252;0
1.1.1;16280136;MT Beech 318 Shell Set NM #GTB;"BD 18"" x 14.25"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Beech, GT Black";3 175,00 €;2 027,73 €;4044661759347;829193759942;0
1.1.1;16280336;MT Birch 318 Shell Set NM #GTB;"BD 18"" x 14.25"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Birch, GT Black";3 215,00 €;2 053,28 €;4044661759507;829193760108;0
1.1.1;16280536;MT Maple 318 Shell Set NM #GTB;"BD 18"" x 14.25"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Maple, GT Black";3 475,00 €;2 219,33 €;4044661759668;829193760269;0
1.1.1;16280140;MT Beech 318 Shell Set NM #SPW;"BD 18"" x 14.25"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Beech, Satin Pure White";3 175,00 €;2 027,73 €;4044661759354;829193759959;0
1.1.1;16280340;MT Birch 318 Shell Set NM #SPW;"BD 18"" x 14.25"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Birch, Satin Pure White";3 215,00 €;2 053,28 €;4044661759514;829193760115;0
1.1.1;16280540;MT Maple 318 Shell Set NM #SPW;"BD 18"" x 14.25"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Maple, Satin Pure White";3 475,00 €;2 219,33 €;4044661759675;829193760276;0
1.1.1;16280182;MT Beech 318 Shell Set NM #CBU;"BD 18"" x 14.25"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Beech, California Burl";3 065,00 €;1 957,48 €;4044661759361;829193759966;0
1.1.1;16280382;MT Birch 318 Shell Set NM #CBU;"BD 18"" x 14.25"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Birch, California Burl";3 105,00 €;1 983,03 €;4044661759521;829193760122;0
1.1.1;16280582;MT Maple 318 Shell Set NM #CBU;"BD 18"" x 14.25"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Maple, California Burl";3 265,00 €;2 085,21 €;4044661759682;829193760283;0
1.1.1;16281124;MT Beech 320 Shell Set NM #REP;"BD 20"" x 15.75"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Beech, Red Pearl";2 995,00 €;1 912,77 €;4044661759378;829193759973;0
1.1.1;16281324;MT Birch 320 Shell Set NM #REP;"BD 20"" x 15.75"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Birch, Red Pearl";3 225,00 €;2 059,66 €;4044661759538;829193760139;0
1.1.1;16281524;MT Maple 320 Shell Set NM #REP;"BD 20"" x 15.75"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Maple, Red Pearl";3 405,00 €;2 174,62 €;4044661759699;829193760290;0
1.1.1;16281136;MT Beech 320 Shell Set NM #GTB;"BD 20"" x 15.75"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Beech, GT Black";3 195,00 €;2 040,50 €;4044661759385;829193759980;0
1.1.1;16281336;MT Birch 320 Shell Set NM #GTB;"BD 20"" x 15.75"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Birch, GT Black";3 425,00 €;2 187,39 €;4044661759545;829193760146;0
1.1.1;16281536;MT Maple 320 Shell Set NM #GTB;"BD 20"" x 15.75"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Maple, GT Black";3 605,00 €;2 302,35 €;4044661759705;829193760306;0
1.1.1;16281140;MT Beech 320 Shell Set NM #SPW;"BD 20"" x 15.75"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Beech, GT Black";3 195,00 €;2 040,50 €;4044661759392;829193759997;0
1.1.1;16281340;MT Birch 320 Shell Set NM #SPW;"BD 20"" x 15.75"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Birch, GT Black";3 425,00 €;2 187,39 €;4044661759552;829193760153;0
1.1.1;16281540;MT Maple 320 Shell Set NM #SPW;"BD 20"" x 15.75"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Maple, GT Black";3 605,00 €;2 302,35 €;4044661759712;829193760313;0
1.1.1;16281182;MT Beech 320 Shell Set NM #CBU;"BD 20"" x 15.75"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Beech, California Burl";3 085,00 €;1 970,25 €;4044661759408;829193760009;0
1.1.1;16281382;MT Birch 320 Shell Set NM #CBU;"BD 20"" x 15.75"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Birch, California Burl";3 315,00 €;2 117,14 €;4044661759569;829193760160;0
1.1.1;16281582;MT Maple 320 Shell Set NM #CBU;"BD 20"" x 15.75"" (no Mount), TT 12"" x 8.5"", FT 14"" x 13.75"", Maple, California Burl";3 475,00 €;2 219,33 €;4044661759729;829193760320;0
1.1.1;16282124;MT Beech 322 Shell Set NM #REP;"BD 22"" x 17.25"" (no Mount), TT 12"" x 8.5"", FT 16"" x 15.25"", Beech, Red Pearl";3 305,00 €;2 110,76 €;4044661759415;829193760016;0
1.1.1;16282324;MT Birch 322 Shell Set NM #REP;"BD 22"" x 17.25"" (no Mount), TT 12"" x 8.5"", FT 16"" x 15.25"", Birch, Red Pearl";3 495,00 €;2 232,10 €;4044661759576;829193760177;0
1.1.1;16282524;MT Maple 322 Shell Set NM #REP;"BD 22"" x 17.25"" (no Mount), TT 12"" x 8.5"", FT 16"" x 15.25"", Maple, Red Pearl";3 695,00 €;2 359,83 €;4044661759736;829193760337;0
1.1.1;16282136;MT Beech 322 Shell Set NM #GTB;"BD 22"" x 17.25"" (no Mount), TT 12"" x 8.5"", FT 16"" x 15.25"", Beech, GT Black";3 455,00 €;2 206,55 €;4044661759422;829193760023;0
