SKU;Nazov;Pocet_ks;Cena_net;Mena;Ukonceny
19ML32VE;Klotz MultiLink 2x RMP male - 8 RU 32-ch. - single grounding;0;1352.8;EUR;0
19ML48VE;Klotz stagebox, MultiLink 2x RMP male - 10 HE 48-ch. single grounding;0;1804.89;EUR;0
19MP212FA;Klotz patch box, 2x RMP female - 2x 12 XLR male - 2 HE 2x 12-item patch box - single grounding;0;1044.9;EUR;0
19MP212FB;Klotz patch box, 2x RMP female - 2x 12 XLR male - 2 HE 2x 12-pcs. single grounding;0;1044.9;EUR;0
19MP212FC;Klotz SUB patch, 2x RMP female - 2x 12 XLR male - 2 HE 2x 12 pcs. patch box - single grounding;0;1044.9;EUR;0
19MS32VE;Klotz multlink, 2x RMP papa - 2 HE 32-part transformer box - single grounded;0;2446.46;EUR;0
19MS48VE;Klotz MultiLink, 2x RMP male - 2 HE 48-split transformer box - single grounded;0;3354.13;EUR;0
3XA2-1M050;Klotz microphone cable, XLR 3-pin female/male black Neutrik connectors - 0.5m;0;28.5;EUR;0
3XA2-1M100;Klotz microphone cable, angled XLR 3p female/male black Neutrik connectors - 1m;0;33.69;EUR;0
3XM1S1N005;Klotz microphone cable with shrink sleeve, XLR 3p female/male nickel Neutrik connectors - 0.5m;0;15.7;EUR;0
3XM1S1N010;Klotz microphone cable with heat shrink tubing, XLR 3p female/male nickel Neutrik connectors - 1m;0;16.19;EUR;0
3XM1S1N020;Klotz microphone cable with shrink tube, XLR 3p female/male nickel Neutrik connectors - 2m;0;17.17;EUR;0
3XM1S1N030;Klotz microphone cable with heat shrink, XLR 3-pin female/male nickel Neutrik connectors - 3m;2;18.15;EUR;0
3XM1S1N050;Klotz microphone cable with shrink tubing, XLR 3p female/male nickel Neutrik connectors - 5m;0;20.11;EUR;0
3XM1S1N075;Klotz microphone cable with shrink tube, XLR 3p female/male nickel Neutrik connectors - 7.5m;0;22.58;EUR;0
3XM1S1N100;Klotz microphone cable with shrink tube, XLR 3p female/male nickel Neutrik connectors - 10m;0;25.03;EUR;0
3XM1S1N150;Klotz microphone cable with shrink tubing, XLR 3p female/male nickel Neutrik connectors - 15m;6;29.93;EUR;0
3XM1S1N200;Klotz microphone cable with shrink tube, XLR 3p female/male nickel Neutrik connectors - 20m;0;34.84;EUR;0
3XM1S1N250;Klotz microphone cable with shrink tube, XLR 3p female/male nickel Neutrik connectors - 25m;0;39.74;EUR;0
3XM1S1N300;Klotz microphone cable with heat shrink tubing, XLR 3p female/male nickel Neutrik connectors - 30m;0;44.65;EUR;0
3XM1T1M005;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 5m;0;15.97;EUR;0
3XM1T1M010;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 10m;0;16.45;EUR;0
3XM1T1M020;Klotz microphone cable, color-coded XLR 3p female/male, black Neutrik connectors - 2m;0;17.44;EUR;0
3XM1T1M030;Klotz microphone cable, color coded XLR 3-pin female/male black Neutrik connectors - 3m;0;18.41;EUR;0
3XM1T1M050;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 5m;0;20.38;EUR;0
3XM1T1M075;Klotz microphone cable, color-coded XLR 3-pin female/male black Neutrik connectors - 7.5m;0;22.83;EUR;0
3XM1T1M100;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 10m;0;25.28;EUR;0
3XM1T1M150;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 1.5m;0;30.19;EUR;0
3XM1T1M200;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 2m;0;35.1;EUR;0
3XM1T2M060;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 6m;0;22.19;EUR;0
3XM1T3M020;Klotz M1 microphone cable, color coded XLR 3p female/male black Neutrik connectors - 2m;0;18.25;EUR;0
3XM1T4M050;Klotz microphone cable, color-coded XLR 3-pin female/male black Neutrik connectors - 5m;0;21.19;EUR;0
3XM1T6M150;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 15m;0;31.01;EUR;0
3XM1T8M010;Klotz microphone cable with color coding, XLR 3-pin female/male black Neutrik connectors - 1m;0;17.27;EUR;0
3XM1T9M030;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 3m;0;19.23;EUR;0
3XM1T9M100;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 10m;0;26.11;EUR;0
3XM2T0M100;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 10m;0;28.35;EUR;0
3XM2T1M005;Klotz M2 microphone cable with color coding, XLR 3-pin female/male black Neutrik connectors - 0.5m;0;16.89;EUR;0
3XM2T1M010;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 1m;0;17.4;EUR;0
3XM2T1M020;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 2m;0;18.45;EUR;0
3XM2T1M030;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 3m;0;19.49;EUR;0
3XM2T1M050;Klotz microphone cable, color-coded XLR 3-pin female/male black Neutrik connectors - 5m;0;21.56;EUR;0
3XM2T1M060;Klotz microphone cable, color-coded XLR 3-pin female/male black Neutrik connectors - 6m;0;22.6;EUR;0
3XM2T1M075;Klotz microphone cable with color coding, XLR 3p female/male black Neutrik connectors - 7.5m;0;24.17;EUR;0
3XM2T1M100;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 10m;0;26.77;EUR;0
3XM2T1M150;Klotz microphone cable, color-coded XLR 3-pin female/male black Neutrik connectors - 15m;0;31.97;EUR;0
3XM2T1M200;Klotz microphone cable, color coded XLR 3p female/male black Neutrik connectors - 20m;0;37.15;EUR;0
3XM2T1M250;Klotz microphone cable with color coding, XLR 3p female/male black Neutrik connectors - 25m;0;42.36;EUR;0
3XM2T1M300;Klotz microphone cable, color coded XLR 3p female/male black Neutrik connectors - 30m;0;47.56;EUR;0
3XM2T2M050;Klotz microphone cable, color coded XLR 3-pin female/male black Neutrik connectors - 5m;0;23.16;EUR;0
3XM2T2M075;Klotz microphone cable, color-coded XLR 3-pin female/male black Neutrik connectors - 7.5m;0;25.74;EUR;0
3XM2T2M150;Klotz microphone cable, color coding XLR 3p female/male black Neutrik connectors - 15m;0;33.57;EUR;0
3XM2T3M010;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 1m;0;19.01;EUR;0
3XM2T3M020;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 2m;0;20.02;EUR;0
3XM2T4M030;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 3m;0;21.07;EUR;0
3XM2T4M050;Klotz microphone cable with color coding XLR 3p female/male black Neutrik connectors - 5m;0;23.16;EUR;0
3XM2T5M020;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 2m;0;20.02;EUR;0
3XM2T5M030;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 3m;0;21.07;EUR;0
3XM2T5M100;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 10m;0;28.35;EUR;0
3XM2T6M100;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 10m;0;28.35;EUR;0
3XM2T8M010;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 1m;0;19.01;EUR;0
3XM2T9M030;Klotz microphone cable, color-coded XLR 3p female/male black Neutrik connectors - 3m;0;21.07;EUR;0
96BAT11V18K;Proel battery, spare part for V12FREE (LI-ION BATTERY PACK 11.1V 8000mAh);2;45.95;EUR;0
96MET00237;Proel accessory, wheel for FREE10LT;4;1.95;EUR;0
96PLA08FRE300;Proel speaker stand FRE300 part, leg rubber cap, 3pcs/pack;0;2.57;EUR;0
AB-JJ0030;Klotz patch cable set, balanced with jacks - 0.3m;5;6.18;EUR;0
AB-JJ0060;Klotz balanced patch cable set with jack - 0.6m;8;7.17;EUR;0
AB-JJ0090;Klotz balanced patch cable set with jack - 0.9m;10;7.44;EUR;0
AB-JJA0030;Klotz patch cable set, balanced with angle jacks - 0.3m;4;6.18;EUR;0
AB-JJA0060;Klotz balanced patch cable set, right-angle jack - 0.6m;10;7.17;EUR;0
AB-JJA0090;Klotz balanced patch cable set, angled connector - 0.9m;2;7.44;EUR;0
AB-MM0090;Klotz adapter cable, resistance matrix with XLR 3p male - 3.5mm mini Jack plug 3p - 0.9m;0;12.28;EUR;0
AB-MM0150;Klotz, connecting adapter with resistance matrix XLR 3p male to 3.5 mm mini Jack plug 3p, 1.5m;0;12.41;EUR;0
AB-MM0300;Klotz connection adapter with resistance matrix, XLR 3p male - 3.5 mm mini jack 3p - 3m;0;13.3;EUR;0
AC103FS;Proel castor wheel, d: 100 mm, brake galvanized steel frame, blue Resilex rubber;0;12.04;EUR;0
AC103GS;Proel rubberized wheel for rack, d: 100 mm, galvanized steel frame, blue Resilex rubber;0;9.01;EUR;0
