id,release,ccgart,ccgartdot,marke,ccgbel1,availableQuantity
39746001,,120510,120.510,GEWA,Digitální piano DP510,200
39746002,,120512,120.512,GEWA,Digitální piano DP510,0
39746003,,120515,120.515,GEWA,Digitální piano CP510,34
39746004,,120520,120.520,GEWA,Digitální piano DP520,0
39746005,,120540,120.540,GEWA,Digitální piano UP540,0
39746006,,120550,120.550,GEWA,Digitální piano,0
39746007,,120555,120.555,GEWA,Digitální piano,0
39746008,,120557,120.557,GEWA,Digitální piano,0
39746009,,120720,120.720,GEWA,Portable Piano PP-2,189
39746010,,120730,120.730,GEWA,Portable Piano PP-3,113
39746011,,120730001,120.730.001,GEWA,Portable Piano Stojan,137
39746012,,120730002,120.730.002,GEWA,Portable Piano Stojan,200
39746013,,120730003,120.730.003,GEWA,Portable Piano Stojan,0
39746014,,130000,130.000,GEWA,Piano stolička Deluxe,200
39746015,,130001,130.001,GEWA,Piano stolička Deluxe Vinyl,172
39746016,,130010,130.010,GEWA,Piano stolička Deluxe,200
39746017,,130011,130.011,GEWA,Piano stolička Deluxe Vinyl,199
39746018,,130020,130.020,GEWA,Piano stolička Deluxe,200
39746019,,130021,130.021,GEWA,Piano stolička Deluxe Vinyl,113
39746020,,130030,130.030,GEWA,Piano stolička Deluxe,200
39746021,,130031,130.031,GEWA,Piano stolička Deluxe Vinyl,70
39746022,,130040,130.040,GEWA,Piano stolička Deluxe,200
39746023,,130050,130.050,GEWA,Piano stolička Deluxe,124
39746024,,130060,130.060,GEWA,Piano stolička Deluxe,86
39746025,,130070,130.070,GEWA,Piano stolička Deluxe,200
39746026,,130080,130.080,GEWA,Piano stolička Deluxe,90
39746027,,130090,130.090,GEWA,Piano stolička Deluxe,48
39746028,,130110,130.110,GEWA,Piano stolička Deluxe,84
39746029,,130120,130.120,GEWA,Piano stolička Deluxe,131
39746030,,130130,130.130,GEWA,Piano stolička Deluxe,63
39746031,,130140,130.140,GEWA,Piano stolička Deluxe,200
39746032,,130150,130.150,GEWA,Piano stolička Deluxe,56
39746033,,130180,130.180,GEWA,Piano stolička Deluxe,4
39746034,,130187,130.187,GEWA,Piano stolička Sedáky Deluxe,41
39746035,,130188,130.188,GEWA,Piano stolička Sedáky Deluxe,34
39746036,,130189,130.189,GEWA,Piano stolička Sedáky Deluxe,40
39746037,,130190,130.190,GEWA,Piano stolička Sedáky Deluxe,87
39746038,,130191,130.191,GEWA,Piano stolička Sedáky Deluxe,62
39746039,,130192,130.192,GEWA,Piano stolička Sedáky Deluxe,41
39746040,,130193,130.193,GEWA,Piano stolička Sedáky Deluxe,21
39746041,,130194,130.194,GEWA,Piano stolička Sedáky Deluxe,21
39746042,,130195,130.195,GEWA,Piano stolička Sedáky Deluxe,7
39746043,,130196,130.196,GEWA,Piano stolička Sedáky Deluxe,19
39746044,,130197,130.197,GEWA,Piano stolička Sedáky Deluxe,82
39746045,,130198,130.198,GEWA,Piano stolička Sedáky Deluxe,14
39746046,,130200,130.200,GEWA,Piano stolička Deluxe Double,24
39746047,,130210,130.210,GEWA,Piano stolička Deluxe Double,34
39746048,,130220,130.220,GEWA,Piano stolička Deluxe Double,46
39746049,,130270,130.270,GEWA,Piano stolička Deluxe Double,24
39746050,,130300,130.300,GEWA,"Piano stolička Deluxe Leather - černá, vysoký lesk",83
39746051,,130310,130.310,GEWA,Piano stolička Deluxe XL Černý vysoký lesk,71
39746052,,130320,130.320,GEWA,Piano stolička Deluxe Classic,8
39746053,,130330,130.330,GEWA,Piano stolička Deluxe Classic,44
39746054,,130340,130.340,GEWA,Piano stolička Deluxe Classic,59
39746055,,130350,130.350,GEWA,Piano stolička Deluxe Classic,19
39746056,,130360,130.360,GEWA,Piano stolička Deluxe Classic,32
39746057,,130370,130.370,GEWA,Piano stolička Deluxe Classic,0
39746058,,130380,130.380,GEWA,Piano stolička Deluxe Classic,39
39746059,,130400,130.400,GEWA,Piano stolička Autolift,65
39746060,,130420,130.420,GEWA,Piano stolička Autolift XL,112
39746061,,130500,130.500,GEWA,Piano stolička Deluxe Compartment,11
39746062,,130510,130.510,GEWA,Piano stolička Deluxe Compartment,17
39746063,,130520,130.520,GEWA,Piano stolička Deluxe Compartment,24
39746064,,130540,130.540,GEWA,Piano stolička Deluxe Compartment,7
39746065,,130570,130.570,GEWA,Piano stolička Deluxe Compartment,33
39746066,,130700,130.700,GEWA,Stolička pro piano Deluxe,55
39746067,,130710,130.710,GEWA,Stolička pro piano Deluxe,54
39746068,,130800,130.800,GEWA,Piano stolička Deluxe Autolift,0
39746069,,130801,130.801,GEWA,Piano stolička Deluxe Autolift Vinyl,32
39746070,,130810,130.810,GEWA,Piano stolička Deluxe Autolift,57
39746071,,130811,130.811,GEWA,Piano stolička Deluxe Autolift Vinyl,11
39746072,,130820,130.820,GEWA,Piano stolička Deluxe Autolift,6
39746073,,130821,130.821,GEWA,Piano stolička Deluxe Autolift Vinyl,4
39746074,,140200,140.200,GEWA,Lampička k pianu PL-78,200
